taxonID,scientificName,matchedScientificName,matchedCanonicalForm,rank,matchedRank,matchType,editDistance,score
142800,"Echiniscus victor Ehrenberg, 1853",Echiniscus,Echiniscus,species,genus,Genus part match,0,0.75
142806,"Echiniscus wendti Richters, 1903","Echiniscus wendti Richters, 1903",Echiniscus wendti,species,species,Exact match,0,0.999
142811,"Echiniscus granulatus (Doyère, 1840)","Echiniscus granulatus (Doyère, 1840)",Echiniscus granulatus,species,species,Exact match,0,0.999
142869,"Echiniscus spinulosus (Doyère, 1840)","Echiniscus spinulosus (Doyère, 1840)",Echiniscus spinulosus,species,species,Exact match,0,0.999
142870,"Echiniscus testudo (Doyère, 1840)","Echiniscus testudo (Doyère, 1840)",Echiniscus testudo,species,species,Exact match,0,0.999
142883,"Echiniscus quadrispinosus subsp. quadrispinosus Richters, 1902","Echiniscus quadrispinosus quadrispinosus Richters, 1902",Echiniscus quadrispinosus quadrispinosus,subspecies,infraspecies,Canonical form exact match,0,1.0
142879,"Echiniscus merokensis subsp. merokensis Richters, 1903","Echiniscus merokensis merokensis Richters, 1904",Echiniscus merokensis merokensis,subspecies,infraspecies,Canonical form exact match,0,1.0
142884,"Echiniscus merokensis subsp. suecicus Thulin, 1911","Echiniscus merokensis suecicus Thulin, 1911",Echiniscus merokensis suecicus,subspecies,infraspecies,Canonical form exact match,0,1.0
142872,"Echiniscus blumi subsp. blumi Richters, 1903","Echiniscus blumi blumi Richters, 1903",Echiniscus blumi blumi,subspecies,infraspecies,Canonical form exact match,0,1.0
142810,"Diploechiniscus oihonnae (Richters, 1903)",,,species,,,,
142754,"Bryodelphax parvulus Thulin, 1928","Bryodelphax parvulus Thulin, 1928",Bryodelphax parvulus,species,species,Exact match,0,0.999
142755,"Bryodelphax parvuspolaris 'Kaczmarek, Zawierucha, Smykla, & Michalczyk, 2012",Bryodelphax,Bryodelphax,species,genus,Genus part match,0,0.75
142852,"Bryodelphax sinensis (Pilato, 1974)","Bryodelphax sinensis (Pilato, 1974)",Bryodelphax sinensis,species,species,Exact match,0,0.999
51910,Echiniscoides,Echiniscoides,Echiniscoides,genus,genus,Exact match,0,0.75
51911,"Echiniscoides sigismundi (Schultze, 1865)","Echiniscoides sigismundi (M. Schultze, 1865)",Echiniscoides sigismundi,species,species,Canonical form exact match,0,0.75
142875,"Echiniscoides sigismundi subsp. groenlandicus Kristensen & Hallas, 1980","Echiniscoides sigismundi groenlandicus Kristensen and Hallas, 1980",Echiniscoides sigismundi groenlandicus,subspecies,infraspecies,Canonical form exact match,0,1.0
142887,"Echiniscoides sigismundi subsp. sigismundi (Schultze, 1865)","Echiniscoides sigismundi sigismundi (M. Schultze, 1865)",Echiniscoides sigismundi sigismundi,subspecies,infraspecies,Canonical form exact match,0,0.997
51906,Batillipedidae,Batillipedidae,Batillipedidae,family,family,Exact match,0,0.75
51907,Batillipes,Batillipes,Batillipes,genus,genus,Exact match,0,0.75
51908,"Batillipes mirus Richters, 1909","Batillipes mirus Richters, 1909",Batillipes mirus,species,species,Exact match,0,0.999
633,Apochela,Apochela,Apochela,order,order,Exact match,0,0.75
634,Parachela,Parachela,Parachela,order,genus,Exact match,0,0.75
137922,Eohypsibioidea,,,superfamily,,,,
137923,Hypsibioidea,,,superfamily,,,,
137924,Isohypsibioidea,,,superfamily,,,,
137925,Macrobiotoidea,,,superfamily,,,,
142613,Macrobiotidae,Macrobiotidae,Macrobiotidae,family,family,Exact match,0,0.75
142614,Murrayidae,,,family,,,,
142630,Dactylobiotus,Dactylobiotus,Dactylobiotus,genus,genus,Exact match,0,0.75
142646,Murrayon,Murrayon,Murrayon,genus,genus,Exact match,0,0.75
142848,"Murrayon dianeae (Kristensen, 1982)","Murrayon dianeae (Kristensen, 1982)",Murrayon dianeae,species,species,Exact match,0,0.999
142849,"Murrayon hastatus (Murray, 1907)","Murrayon hastatus (Murray, 1907)",Murrayon hastatus,species,species,Exact match,0,0.999
142850,"Murrayon hibernicus (Murray, 1911)","Murrayon hibernicus (Murray, 1911)",Murrayon hibernicus,species,species,Exact match,0,0.999
142851,"Murrayon pullari (Murray, 1907)","Murrayon pullari (Murray, 1907)",Murrayon pullari,species,species,Exact match,0,0.999
142743,"Dactylobiotus octavi Guidetti, Altiero & Hansen, 2006","Dactylobiotus octavi Guidetti, Altiero and Hansen, 2006",Dactylobiotus octavi,species,species,Canonical form exact match,0,0.997
142845,"Dactylobiotus ambiguus (Murray, 1907)","Dactylobiotus ambiguus (Murray, 1907)",Dactylobiotus ambiguus,species,species,Exact match,0,0.999
142846,"Dactylobiotus ampullaceus (Thulin, 1911)","Dactylobiotus ampullaceus (Thulin, 1911)",Dactylobiotus ampullaceus,species,species,Exact match,0,0.999
142847,"Dactylobiotus dispar (Murray, 1907)","Dactylobiotus dispar (Murray, 1907)",Dactylobiotus dispar,species,species,Exact match,0,0.999
142855,"Dactylobiotus macronyx (Dujardin, 1851)","Dactylobiotus macronyx (Dujardin, 1851)",Dactylobiotus macronyx,species,species,Exact match,0,0.999
142622,Adorybiotus,Adorybiotus,Adorybiotus,genus,genus,Exact match,0,0.75
142640,Macrobiotus,Macrobiotus,Macrobiotus,genus,genus,Exact match,0,0.75
142644,Minibiotus,Minibiotus,Minibiotus,genus,genus,Exact match,0,0.75
142647,Paramacrobiotus,,,genus,,,,
142653,Richtersius,Richtersius,Richtersius,genus,genus,Exact match,0,0.75
142654,Tenuibiotus,,,genus,,,,
142854,"Tenuibiotus willardi (Pilato, 1977)",,,species,,,,
142868,"Tenuibiotus voronkovi (Tumanov, 2007)",,,species,,,,
142844,"Richtersius coronifer (Richters, 1903)","Richtersius coronifer (Richters, 1903)",Richtersius coronifer,species,species,Exact match,0,0.999
142842,"Paramacrobiotus areolatus (Murray, 1907)",,,species,,,,
142843,"Paramacrobiotus richtersi (Murray, 1911)",,,species,,,,
142716,"Minibiotus harrylewisi Meyer & Hinton, 2009",Minibiotus,Minibiotus,species,genus,Genus part match,0,0.75
142841,"Minibiotus intermedius (Plate, 1888)","Minibiotus intermedius (Plate, 1889)",Minibiotus intermedius,species,species,Canonical form exact match,0,0.997
142867,"Minibiotus crassidens (Murray, 1907)",Minibiotus,Minibiotus,species,genus,Genus part match,0,0.75
142660,"Macrobiotus ambiguus Murray, 1907","Macrobiotus ambiguus Murray, 1907",Macrobiotus ambiguus,species,species,Exact match,0,0.999
142661,"Macrobiotus ampullaceus Thulin, 1911",Macrobiotus,Macrobiotus,species,genus,Genus part match,0,0.75
142665,"Macrobiotus annulatus Murray, 1905","Macrobiotus annulatus Murray, 1905",Macrobiotus annulatus,species,species,Exact match,0,0.999
142667,"Macrobiotus antarcticus Richters, 1904","Macrobiotus antarcticus Richters, 1904",Macrobiotus antarcticus,species,species,Exact match,0,0.999
142668,"Macrobiotus arcticus Murray, 1907","Macrobiotus arcticus Murray, 1907",Macrobiotus arcticus,species,species,Exact match,0,0.999
142672,"Macrobiotus ariekammensis Weglarska, 1965","Macrobiotus ariekammensis Wêglarska, 1965",Macrobiotus ariekammensis,species,species,Exact match,0,0.999
142674,"Macrobiotus asperus Murray, 1906",Macrobiotus,Macrobiotus,species,genus,Genus part match,0,0.75
142676,"Macrobiotus augusti Murray, 1907","Macrobiotus augusti Murray, 1907",Macrobiotus augusti,species,species,Exact match,0,0.999
142688,"Macrobiotus convergens Urbanowicz, 1925","Macrobiotus convergens Urbanowicz, 1925",Macrobiotus convergens,species,species,Exact match,0,0.999
142690,"Macrobiotus coronifer Richters, 1903","Macrobiotus coronifer Richters, 1903",Macrobiotus coronifer,species,species,Exact match,0,0.999
142693,"Macrobiotus crassidens Murray, J., 1907. Some South African Tardigrada. J. R. Micr. Soc. London, 5: 515 - 524","Macrobiotus crassidens Murray, 1907",Macrobiotus crassidens,species,species,Canonical form exact match,0,0.997
142694,"Macrobiotus crenulatus Richters, 1904","Macrobiotus crenulatus Richters, 1904",Macrobiotus crenulatus,species,species,Exact match,0,0.999
142697,"Macrobiotus dianeae Kristensen, 1982","Macrobiotus dianeae Kristensen, 1982",Macrobiotus dianeae,species,species,Exact match,0,0.999
142698,"Macrobiotus dispar Murray, 1907","Macrobiotus dispar Murray, 1907",Macrobiotus dispar,species,species,Exact match,0,0.999
142699,"Macrobiotus dujardin Doyère, 1840","Macrobiotus dujardin Doyère, 1840",Macrobiotus dujardin,species,species,Exact match,0,0.999
142701,"Macrobiotus echinogenitus Richters, 1903","Macrobiotus echinogenitus Richters, 1904",Macrobiotus echinogenitus,species,species,Canonical form exact match,0,0.997
142709,"Macrobiotus grandis Richters, 1911","Macrobiotus grandis Richters, 1911",Macrobiotus grandis,species,species,Exact match,0,0.999
142711,"Macrobiotus granulatus Richters, 1903","Macrobiotus granulatus Richters, 1903",Macrobiotus granulatus,species,species,Exact match,0,0.999
142715,"Macrobiotus harmsworthi Murray, 1907","Macrobiotus harmsworthi Murray, 1907",Macrobiotus harmsworthi,species,species,Exact match,0,0.999
142717,"Macrobiotus hastatus Murray, 1907","Macrobiotus hastatus Murray, 1907",Macrobiotus hastatus,species,species,Exact match,0,0.999
142718,"Macrobiotus hibernicus Murray, 1911","Macrobiotus hibernicus Murray, 1911",Macrobiotus hibernicus,species,species,Exact match,0,0.999
142719,"Macrobiotus hibiscus de Barros, 1942","Macrobiotus hibiscus De Barros, 1942",Macrobiotus hibiscus,species,species,Exact match,0,0.999
142721,"Macrobiotus hufelandi C.A.S. Schultze, 1834","Macrobiotus hufelandi C.A.S. Schultze, 1834",Macrobiotus hufelandi,species,species,Exact match,0,0.999
142723,"Macrobiotus intermedius Plate, 1888","Macrobiotus intermedius Plate, 1889",Macrobiotus intermedius,species,species,Canonical form exact match,0,0.997
142725,"Macrobiotus islandicus 'Richters, 1904","Macrobiotus islandicus Richters, 1904",Macrobiotus islandicus,species,species,Canonical form exact match,0,0.988
142728,"Macrobiotus macrocalix Bertolani & Rebecchi, 1993","Macrobiotus macrocalix Bertolani and Rebecchi, 1993",Macrobiotus macrocalix,species,species,Canonical form exact match,0,0.997
142730,"Macrobiotus macronyx Dujardin, 1851","Macrobiotus macronyx Dujardin, 1851",Macrobiotus macronyx,species,species,Exact match,0,0.999
142736,"Macrobiotus montanus Murray, 1910","Macrobiotus montanus Murray, 1910",Macrobiotus montanus,species,species,Exact match,0,0.999
142739,"Macrobiotus norvegicus Mihelcic, 1971/1972","Macrobiotus norvegicus Mihelcic, 1971",Macrobiotus norvegicus,species,species,Canonical form exact match,0,0.997
142741,"Macrobiotus oberhaeuser Doyère, 1840","Macrobiotus oberhaeuser Doyère, 1840",Macrobiotus oberhaeuser,species,species,Exact match,0,0.999
142742,"Macrobiotus occidentalis Murray, 1910","Macrobiotus occidentalis Murray, 1910",Macrobiotus occidentalis,species,species,Exact match,0,0.999
142747,"Macrobiotus orcadensis Murray, 1907","Macrobiotus orcadensis Murray, 1907",Macrobiotus orcadensis,species,species,Exact match,0,0.999
142749,"Macrobiotus ornatus Richters, 1900","Macrobiotus ornatus Richters, 1900",Macrobiotus ornatus,species,species,Exact match,0,0.999
142753,"Macrobiotus papillifer Murray, 1905","Macrobiotus papillifer Murray, 1905",Macrobiotus papillifer,species,species,Exact match,0,0.999
142756,"Macrobiotus persimilis Binda & Pilato, 1972","Macrobiotus persimilis Binda and Pilato, 1972",Macrobiotus persimilis,species,species,Canonical form exact match,0,0.997
142764,"Macrobiotus pullari Murray, 1907","Macrobiotus pullari Murray, 1907",Macrobiotus pullari,species,species,Exact match,0,0.999
142769,"Macrobiotus richtersi Murray, 1911","Macrobiotus richtersi Murray, 1911",Macrobiotus richtersi,species,species,Exact match,0,0.999
142773,"Macrobiotus sattleri Richters, 1902","Macrobiotus sattleri Richters, 1902",Macrobiotus sattleri,species,species,Exact match,0,0.999
142776,"Macrobiotus schaudinni Richters, 1909","Macrobiotus schaudinni Richters, 1909",Macrobiotus schaudinni,species,species,Exact match,0,0.999
142783,"Macrobiotus spectabilis Thulin, 1928","Macrobiotus spectabilis Thulin, 1928",Macrobiotus spectabilis,species,species,Exact match,0,0.999
142791,"Macrobiotus stenostomus Richters, 1908",Macrobiotus,Macrobiotus,species,genus,Genus part match,0,0.75
142799,"Macrobiotus tuberculatus Plate, 1888","Macrobiotus tuberculatus Plate, 1889",Macrobiotus tuberculatus,species,species,Canonical form exact match,0,0.997
142803,"Macrobiotus voronkovi Tumanov, 2007",Macrobiotus,Macrobiotus,species,genus,Genus part match,0,0.75
142807,"Macrobiotus willardi Pilato, 1977","Macrobiotus willardi Pilato, 1977",Macrobiotus willardi,species,species,Exact match,0,0.999
142809,"Macrobiotus zetlandicus Murray, 1907","Macrobiotus zetlandicus Murray, 1907",Macrobiotus zetlandicus,species,species,Exact match,0,0.999
142881,"Macrobiotus occidentalis subsp. occidentalis Murray, 1910","Macrobiotus occidentalis occidentalis Murray, 1910",Macrobiotus occidentalis occidentalis,subspecies,infraspecies,Canonical form exact match,0,1.0
142878,"Macrobiotus islandicus subsp. islandicus Richters, 1904","Macrobiotus islandicus islandicus Richters, 1904",Macrobiotus islandicus islandicus,subspecies,infraspecies,Canonical form exact match,0,1.0
142877,"Macrobiotus hufelandi subsp. hufelandi C.A.S. Schultze, 1834","Macrobiotus hufelandi hufelandi C.A.S. Schultze, 1834",Macrobiotus hufelandi hufelandi,subspecies,infraspecies,Canonical form exact match,0,1.0
142876,"Macrobiotus harmsworthi subsp. harmsworthi Murray, 1907","Macrobiotus harmsworthi harmsworthi Murray, 1907",Macrobiotus harmsworthi harmsworthi,subspecies,infraspecies,Canonical form exact match,0,1.0
142880,"Macrobiotus harmsworthi subsp. obscurus Dastych, 1985","Macrobiotus harmsworthi obscurus Dastych, 1985",Macrobiotus harmsworthi obscurus,subspecies,infraspecies,Canonical form exact match,0,1.0
142886,"Macrobiotus echinogenitus subsp. areolatus Murray, 1907","Macrobiotus echinogenitus Richters, 1904",Macrobiotus echinogenitus,form,species,Partial canonical form match,0,0.988
142886,"Macrobiotus echinogenitus var. areolatus Murray, 1907","Macrobiotus echinogenitus Richters, 1904",Macrobiotus echinogenitus,form,species,Partial canonical form match,0,0.988
142886,"Macrobiotus echinogenitus f. areolatus Murray, 1907","Macrobiotus echinogenitus Richters, 1904",Macrobiotus echinogenitus,form,species,Partial canonical form match,0,0.988
